REGION,EMISSION,YEAR,VALUE
"REGION1","SEWI",2033,58.4927038998156
"REGION1","SEWI",2034,57.6694570220604
"REGION1","SEWI",2035,70.7321973700458
"REGION1","SEWI",2036,74.1171251965043
"REGION1","SEWI",2037,78.0156448913483
"REGION1","SEWI",2038,82.8296199813135
"REGION1","SEWI",2039,91.432250827111
"REGION1","SEWI",2040,103.5270611074
"REGION1","SEWI",2041,121.251900863672
"REGION1","SEWI",2042,131.66566334779
"REGION1","SEWI",2043,149.390503104062
"REGION1","SEWI",2044,164.26242104493
"REGION1","SEWI",2045,181.987260801203
"REGION1","SEWI",2046,185.784667176136
"REGION1","SEWI",2047,189.582063996451
"REGION1","SEWI",2048,193.378657385375
"REGION1","SEWI",2049,197.174596662312
"REGION1","SEWI",2050,200.970525701826
"REGION1","SEWI",2051,202.983421450436
"REGION1","SEWI",2052,204.982916903943
"REGION1","SEWI",2053,206.971021724212
"REGION1","SEWI",2054,208.705931744321
"REGION1","SEWI",2055,210.646360254056
"REGION1","SEWI",2056,215.518555923292
"REGION1","SEWI",2057,230.304256833749
"REGION1","SEWI",2058,241.285047911551
"REGION1","SEWI",2059,245.570560865139
"REGION1","SEWI",2060,245.570560865139
"REGION1","SEWO",2015,2.52310745185536
"REGION1","SEWO",2016,2.52310745185536
"REGION1","SEWO",2017,2.52310745185536
"REGION1","SEWO",2018,2.52310745185536
"REGION1","SEWO",2019,2.52310745185536
"REGION1","SEWO",2020,2.52310745185536
"REGION1","SEWO",2021,2.52310745185536
"REGION1","SEWO",2022,2.52310745185536
"REGION1","SEWO",2023,2.52310745185536
"REGION1","SEWO",2024,2.48268481572019
"REGION1","SEWO",2025,2.32834384138589
"REGION1","SEWO",2026,2.32834384138589
"REGION1","SEWO",2027,2.32834384138589
"REGION1","SEWO",2028,2.32834384138589
"REGION1","SEWO",2029,2.32834384138589
"REGION1","SEWO",2030,2.32834384138589
"REGION1","SEWO",2031,2.32834384138589
"REGION1","SEWO",2032,0.705558739813907
"REGION1","SEWO",2033,0.705558739813907
"REGION1","SEWO",2034,0.705558739813907
"REGION1","SEWO",2035,0.705558739813907
"REGION1","SEWO",2036,0.705558739813907
"REGION1","SEWO",2037,0.705558739813907
