REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S02B3","SEE2",2032,4.49663300001
"REGION1","S02B3","SEE2",2033,4.52058803757
"REGION1","S02B3","SEE2",2034,4.54455164274
"REGION1","S02B3","SEE2",2035,4.56851524791
"REGION1","S02B3","SEE2",2036,4.59627430431
"REGION1","S02B3","SEE2",2037,4.62404192832
"REGION1","S02B3","SEE2",2038,4.65180955233
"REGION1","S02B3","SEE2",2039,4.67956860873
"REGION1","S02B3","SEE2",2040,4.70733623274
"REGION1","S02B3","SEE2",2041,4.75037990538
"REGION1","S02B3","SEE2",2042,4.79342357802
"REGION1","S02B3","SEE2",2043,4.83646725066
"REGION1","S02B3","SEE2",2044,4.8795109233
"REGION1","S02B3","SEE2",2045,4.92256316355
"REGION1","S02B3","SEE2",2046,4.96080040698
"REGION1","S02B3","SEE2",2047,4.99903765041
"REGION1","S02B3","SEE2",2048,5.03727489384
"REGION1","S02B3","SEE2",2049,5.07551213727
"REGION1","S02B3","SEE2",2050,5.1137493807
"REGION1","S02B3","SEE2",2051,5.13420883338
"REGION1","S02B3","SEE2",2052,5.15474539455
"REGION1","S02B3","SEE2",2053,5.17535906421
"REGION1","S02B3","SEE2",2054,5.19606697758
"REGION1","S02B3","SEE2",2055,5.21684343183
"REGION1","S02B3","SEE2",2056,5.2324964553
"REGION1","S02B3","SEE2",2057,5.24819231682
"REGION1","S02B3","SEE2",2058,5.263939584
"REGION1","S02B3","SEE2",2059,5.27972968923
"REGION1","S02B3","SEE2",2060,5.29557120012
"REGION1","S03B1","SEE2",2015,36.0707445923
"REGION1","S03B1","SEE2",2016,36.4267811919
"REGION1","S03B1","SEE2",2017,36.7828953932
"REGION1","S03B1","SEE2",2018,37.1390095945
"REGION1","S03B1","SEE2",2019,37.4950461941
"REGION1","S03B1","SEE2",2020,37.8511603954
"REGION1","S03B1","SEE2",2021,38.0753517067
"REGION1","S03B1","SEE2",2022,38.299543018
"REGION1","S03B1","SEE2",2023,38.5237343293
"REGION1","S03B1","SEE2",2024,38.7479256406
"REGION1","S03B1","SEE2",2025,38.9721169519
"REGION1","S03B1","SEE2",2026,39.2365835455
"REGION1","S03B1","SEE2",2027,39.5010501391
"REGION1","S03B1","SEE2",2028,39.7655167327
"REGION1","S03B1","SEE2",2029,40.0299833263
"REGION1","S03B1","SEE2",2030,40.2944499199
"REGION1","S03B1","SEE2",2031,40.5115018748
